source,target,pct,value_idr
"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",BPFI,7.78,56189279880.0
UOB KAY HIAN PRIVATE LIMITED,BPFI,4.09,29518614000.0
PT. Victoria Investama Tbk,BPFI,1.04,7489665000.0
PT. BINTANG MITRA SEMESTARAYA TBK,BPFI,1.0,7226334000.0
UOB KAY HIAN PRIVATE LIMITED,BPII,4.94,225501183600.0
"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",BPTR,67.4,185793564294.0
PT. Victoria Investama Tbk,BPTR,10.48,28876551600.0
ENDANG LESTARI PUJIASTUTI,BRAM,16.57,335572290000.0
IEVAN DANIAR SUMAMPOW,BRAM,4.86,98388436500.0
EMPLOYEES PROVIDENT FUND BOARD,BRIS,1.25,1213869707000.0
GLAS TRUST (SINGAPORE) LTD.,BRMS,7.61,7872763702030.0
CGS INTERNATIONAL SEKURITAS INDONESIA,BRMS,5.25,5431046657660.0
PETROMINE ENERGY TRADING,BRMS,4.28,4429560704480.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,BRMS,3.91,4043205156000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BRMS,3.77,3906531216250.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,BRMS,3.24,3350097858040.0
CGS INTERNATIONAL SECURITIES HONG KONG LIMITED,BRMS,1.47,1516721000000.0
MAYBANK SECURITIES PTE. LTD.,BRMS,1.31,1350849816000.0
PT. INDOLIFE PENSIONTAMA,BRMS,1.06,1101850144800.0
BANGKOK BANK PUBLIC COMPANY LIMITED,BRPT,4.99,6388385975790.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,BSDE,2.7,423375756000.0
GOVERNMENT OF NORWAY,BSDE,1.33,207640892000.0
PT TASPEN (PERSERO),BSDE,1.09,170425034000.0
PT SINAR MAS MULTIARTHA Tbk,BSIM,59.99,10585033972000.0
UBS AG SINGAPORE BRANCH,BSIM,3.03,534498215450.0
PT NUSANTARA INDAH CEMERLANG,BSIM,2.3,405233293850.0
DIAN CIPTAMAS AGUNG PT,BSIM,2.21,390577359180.0
CASCADEN INVESTMENT LIMITED,BSIM,1.73,306036003755.0
SINAR MAS CAKRAWALA,BSIM,1.03,181506000000.0
UOB KAY HIAN PRIVATE LIMITED,BSML,1.86,11689200000.0
DMS INVESTAMA PT,BSML,1.85,11643266000.0
BARCLAYS CAPITAL SECURITIES LIMITED,BSML,1.04,6565468000.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,BTEK,9.85,68362908870.0
UBS SWITZERLAND AG,BTEK,3.86,26766073320.0
REKSA DANA EMCO MANTAP,BTEK,2.56,17770701000.0
REKSA DANA POOL ADVISTA KAPITAL OPTIMAL,BTEK,2.07,14364559500.0
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,BTEK,1.93,13363395000.0
REKSA DANA EMCO GROWTH FUND,BTEK,1.85,12808506000.0
REKSA DANA SYARIAH TREASURE SAHAM BERKAH SYARIAH,BTEK,1.25,8656815000.0
PT BIOFUEL INDO SUMATRA,BTEL,8.54,157252500000.0
"UBS AG, LONDON",BTEL,3.51,64678073500.0
JAKSA AGUNG MUDA BIDANG TINDAK PIDANA KHUSUS KEJAKSAAN REPUBLIK INDONESIA KEJAKSAAN REPUBLIK INDONESIA,BTEL,3.36,61771061550.0
PT. ASURANSI JIWA IFG,BTEL,3.15,57942946150.0
PT MINNA PADI INVESTAMA SEKURITAS Tbk,BTEL,2.36,43444875000.0
REKSA DANA OSO FLORES EQUITY FUND,BTEL,1.36,25050000000.0
"UBS AG, LONDON",BTPN,3.76,772000700590.0
BARCLAYS CAPITAL SECURITIES LIMITED,BTPN,1.88,386014089000.0
GOVERNMENT OF NORWAY,BTPS,2.68,219783411000.0
UOB KAY HIAN PRIVATE LIMITED,BUDI,7.73,73725691976.0
MAYBANK SECURITIES PTE. LTD.,BUDI,4.92,46926009200.0
BONHAM NOMINEES PTE LTD,BUDI,4.81,45846519192.0
DBS VICKERS SECS SINGAPORE (PTE) LTD A/C CLIENTS,BUDI,4.63,44165281600.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,BUDI,4.53,43183890988.0
PHILLIP SECURITIES PTE LTD,BUDI,4.16,39724870792.0
EMPLOYEES PROVIDENT FUND BOARD,BUKA,2.23,319924373800.0
PT. KB VALBURY SEKURITAS,BULL,6.84,351920000000.0
PT DANATAMA KAPITAL INVESTAMA,BULL,5.37,276135520008.0
INTERVENTURES CAPITAL PTE. LTD,BULL,4.98,255972000000.0
KINGSWOOD UNION CORPORATION,BULL,3.75,193157766000.0
PT DANATAMA MAKMUR SEKURITAS,BULL,1.31,67431887208.0
UBS AG SINGAPORE BRANCH,BULL,1.27,65559409200.0
"UBS AG, LONDON",BULL,1.05,53792171184.0
UBS SWITZERLAND AG,BUMI,5.1,4092925741128.0
GLAS TRUST (SINGAPORE) LTD.,BUMI,2.08,1666794143664.0
PT BAKRIE CAPITAL INDONESIA,BUMI,1.18,948271094712.0
BANK OF SINGAPORE LIMITED,BUMI,1.03,827088019416.0
PT TIRTA ORISA YASA,BUVA,2.88,674334772200.0
FERRY SUDJONO,BUVA,1.2,279541381700.0
PT. Victoria Investama Tbk,BVIC,40.07,767627702400.0
SUZANNA TANOJO,BVIC,6.32,121013121112.0
PT. BINTANG MITRA SEMESTARAYA TBK,BVIC,4.62,88419344000.0
UBS AG HONG KONG,BWPT,3.37,134761986000.0
PT TASPEN (PERSERO),BWPT,2.08,83420902500.0
OCBC SECURITIES PRIVATE LIMITED,CANI,8.1,11137500000.0
BANK JULIUS BAER & CO. LTD,CARE,16.97,2313758453000.0
"CAPITAL LIFE SYARIAH, PT",CARE,4.89,666979636000.0
PT SEJAHTERA MAHKOTA PERSADA,CARE,3.51,478549869640.0
LGT BANK AG,CARE,3.01,410000000000.0
BANK OF SINGAPORE LIMITED,CARE,2.27,309738272000.0
PT ARIMA KARYA PERSADA,CARE,1.99,270920128000.0
MARUARAR SIRAIT,CARS,4.92,69326692000.0
TJOMO TJENGUNDORO.TJENG,CARS,4.14,58328269000.0
MAYBANK SECURITIES PTE. LTD.,CARS,3.31,46729703000.0
TERRA KONSUMA INVESTAMA,CARS,2.89,40711240200.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,CARS,2.11,29775441410.0
EASTERN PEAK GROUP CORPORATION,CASA,2.95,2134328805000.0
PT.Pacific Indocorpora Indonesia,CASA,2.82,2040357389000.0
BANK JULIUS BAER & CO. LTD,CASA,2.21,1599093979000.0
PT SEJAHTERA MAHKOTA PERSADA,CASA,1.87,1358243177760.0
DRS SURONO SUBEKTI,CASS,5.69,212542810000.0
OCBC SECURITIES PRIVATE LIMITED,CASS,2.28,85256626000.0
UOB KAY HIAN PRIVATE LIMITED,CASS,1.61,60045908000.0
UBS AG HONG KONG,CASS,1.04,38919791000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,CBUT,4.9,124796956500.0
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,CCSI,1.31,4132364720.0
BANGKOK BANK PUBLIC COMPANY LIMITED,CDIA,1.0,1006250000000.0
DRS SURONO SUBEKTI,CEKA,2.04,27248256000.0
UOB KAY HIAN PRIVATE LIMITED,CENT,4.0,124783859600.0
"BANK PAN INDONESIA TBK, PT",CFIN,51.49,672869454592.0
FIDELITY FUNDS,CFIN,8.23,107505091400.0
HAIYANTO,CFIN,3.99,52206874400.0
UOB KAY HIAN PRIVATE LIMITED,CFIN,2.57,33527569600.0
DRS SURONO SUBEKTI,CFIN,2.56,33403421600.0
"PANIN SEKURITAS Tbk, PT",CFIN,1.78,23218988800.0
DRS LO KHENG HONG,CFIN,1.63,21300680800.0
OCBC SECURITIES PRIVATE LIMITED,CFIN,1.63,21265683200.0
REKSA DANA PANIN DANA MAKSIMA,CFIN,1.51,19761606400.0
MAYBANK SECURITIES PTE. LTD.,CFIN,1.23,16045464800.0
UBS AG SINGAPORE BRANCH,CINT,4.9,9506000000.0
CASCADEN INVESTMENT LIMITED,CINT,3.6,6975599800.0
PHILLIP SECURITIES PTE LTD,CINT,1.93,3734500000.0
BOQUETE GROUP S.A.,CINT,1.03,2005795100.0
UOB KAY HIAN PRIVATE LIMITED,CITA,2.93,480959851000.0
PT BIOFUEL INDO SUMATRA,CLAY,1.74,129598197630.0
DRS SURONO SUBEKTI,CLEO,1.22,116502560000.0
NITA WULANSARI NUGROHO,CLPI,2.02,9687350000.0
BP2S SG/BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,CMNP,59.35,5603955146340.0
ENDANG LESTARI PUJIASTUTI,CMNP,3.59,338603392500.0
IEVAN DANIAR SUMAMPOW,CMNP,2.5,235577865000.0
UBS AG SINGAPORE BRANCH,CMNT,1.73,222052275000.0
PT DANATAMA MAKMUR SEKURITAS,CMPP,3.74,34400000000.0
PT. PRUDENTIAL LIFE ASSURANCE,CMRY,1.04,357190680000.0
DBS BANK LTD.,COCO,5.24,60803773944.0
MARUARAR SIRAIT,COCO,3.31,38438823000.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,COCO,2.25,26080032600.0
REKSA DANA EMCO MANTAP,COWL,1.58,3837920000.0
UBS AG SINGAPORE BRANCH,CPIN,5.98,4021141420000.0
DBS BANK LTD.,CPIN,4.39,2949627330000.0
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,CPIN,4.29,2886962930000.0
BONHAM NOMINEES PTE LTD,CPIN,3.13,2103150514000.0
UOB KAY HIAN PRIVATE LIMITED,CPIN,2.39,1609567422000.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN PENSIUN,CPIN,1.61,1081394270000.0
UOB KAY HIAN PRIVATE LIMITED,CPRI,4.87,5929550000.0
REKSA DANA EMCO MANTAP,CPRI,1.53,1855960000.0
UOB KAY HIAN PRIVATE LIMITED,CPRO,4.87,153906700000.0
DBS BANK LTD.,CPRO,4.86,153385445000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,CPRO,4.67,147595645500.0
UBS AG SINGAPORE BRANCH,CPRO,4.23,133656650800.0
UOB KAY HIAN (HONG KONG) LTD,CPRO,4.07,128551500000.0
CITIBANK HONG KONG S/A PBG CLIENTS SG,CPRO,3.08,97096000000.0
ANTONIUS GUNAWAN GHO,CRSN,1.03,3121765500.0
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,CSAP,10.0,163680843744.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,CSMI,4.91,3284936400.0
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,CSMI,2.48,1659753800.0
REKSA DANA BALANCED FUND SUCORINVEST ANAK PINTAR,CSMI,1.91,1278626000.0
FIDELITY FUNDS,CTRA,3.62,476314434000.0
GOVERNMENT OF NORWAY,CTRA,2.05,270252409870.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,CTRA,1.51,198757045000.0
UOB KAY HIAN PRIVATE LIMITED,CTTH,9.4,8217209708.0
HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,CUAN,1.09,1303922960000.0
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,CUAN,1.02,1209656100000.0
UBS SWITZERLAND AG,CYBR,8.4,732904861000.0
UOB KAY HIAN PRIVATE LIMITED,DADA,1.08,4000000000.0
IRENE THESMAN,DART,1.38,5994457800.0
LGT BANK AG,DART,1.36,5885987040.0
VERAH WAHYUDI S WONG,DATA,40.09,1659416612000.0
DJONI,DATA,5.45,225750000000.0
"UNION BANCAIRE PRIVEE, UBP SA SINGAPORE BRANCH",DAYA,4.0,92431585000.0
UOB KAY HIAN PRIVATE LIMITED,DAYA,2.89,66850000000.0
ANTHONI SALIM,DCII,11.12,55584142608225.0
"ASURANSI JIWA KRESNA, PT",DEFI,23.57,11340667800.0
PT KARYA KARUNIA PERSADA,DEFI,2.2,1060112900.0
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,DEPO,2.31,33873897600.0
CGS INTERNATIONAL SECURITIES HONG KONG LIMITED,DEWA,6.38,1131705667200.0
Zurich Assets International Ltd,DEWA,6.18,1095745778040.0
CGS INTERNATIONAL SEKURITAS INDONESIA,DEWA,4.79,849999612220.0
PETROMINE ENERGY TRADING,DEWA,4.46,790929724000.0
PT. KB VALBURY SEKURITAS,DEWA,1.04,183651353200.0
REKSA DANA NARADA SAHAM INDONESIA,DFAM,7.05,12733116000.0
REKSA DANA NARADA SAHAM INDONESIA II,DFAM,3.99,7205617000.0
REKSA DANA NARADA CAMPURAN I,DFAM,1.59,2869332500.0
OCBC SECURITIES PRIVATE LIMITED,DGIK,9.69,67119775000.0
HARTARTO CIPUTRA,DGNS,1.05,3962058800.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,DGWG,12.53,269684538000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,DILD,15.02,191498712300.0
CGS INTERNATIONAL SEKURITAS INDONESIA,DILD,14.52,185146049259.0
DRS LO KHENG HONG,DILD,6.79,86608986300.0
"PANIN SEKURITAS Tbk, PT",DILD,3.58,45633824100.0
UOB KAY HIAN PRIVATE LIMITED,DILD,1.76,22430480982.0
"ASURANSI JIWA KRESNA, PT",DIVA,31.84,58672425000.0
PT SOTERIA WICAKSANA INVESTAMA,DIVA,15.17,27963562200.0
UBS AG SINGAPORE BRANCH,DKFT,1.43,56567910000.0
BANK OF SINGAPORE LIMITED,DKFT,1.17,46051740000.0
REKSA DANA PANIN DANA MAKSIMA,DLTA,1.41,21779450000.0
PT TASPEN (PERSERO),DMAS,1.77,111864489400.0
BANK OF SINGAPORE LIMITED,DMMX,13.89,208309569000.0
PT SOTERIA WICAKSANA INVESTAMA,DMMX,10.25,153717544500.0
ANTHONI SALIM,DNET,25.3,33012157811600.0
PT. INDOLIFE PENSIONTAMA,DNET,2.56,3336679000000.0
UBS AG SINGAPORE BRANCH,DOID,4.38,86429126670.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,DOID,3.52,69551640000.0
DBS BANK LTD.,DOID,3.23,63786397800.0
MANOJ PITAMBER NANWANI,DOID,3.13,61739193600.0
CA INDOSUEZ (SWITZERLAND) SA,DOID,2.23,43998804000.0
PINKY NK,DOID,1.01,19862594400.0
UBS AG SINGAPORE BRANCH,DOSS,4.83,12668212000.0
BANK JULIUS BAER & CO. LTD,DPNS,6.81,6986873930.0
"GADING DANALESTARI, PT",DPNS,4.83,4960000000.0
HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,DPNS,4.68,4805000000.0
LIE EFFENDI HARSONO,DPNS,2.26,2320018920.0
ANDY TANUJAYA,DPNS,1.6,1638040000.0
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,DPUM,4.54,19715280000.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,DPUM,1.28,5547233120.0
TRIPUTRA INVESTINDO ARYA,DRMA,14.16,646505000000.0
FIDELITY FUNDS,DRMA,4.2,191587222000.0
EMPLOYEES PROVIDENT FUND BOARD,DRMA,2.02,92170564000.0
TRIPUTRA INVESTINDO ARYA,DSNG,28.33,5074141076290.0
UOB KAY HIAN PRIVATE LIMITED,DSNG,4.69,840750833000.0
IR. T. PERMADI RACHMAT,DSNG,2.37,424414601000.0
PERSADA CAPITAL INVESTAMA,DSNG,1.77,316288984050.0
MAYBANK SECURITIES PTE. LTD.,DSNG,1.15,206044800000.0
UOB KAY HIAN PRIVATE LIMITED,DSSA,3.74,19025424000000.0
CITIBANK HONG KONG S/A CITIBANK HK SA PBG CLIENTS HK,DSSA,3.38,17173444200000.0
FIDELITY FUNDS,DUCK,9.88,22322766400.0
HAIYANTO,DUCK,4.88,11013112000.0
CITIBANK NEW YORK S/A RAINBOW FUND LP,DUCK,4.88,11021120000.0
CA INDOSUEZ (SWITZERLAND) SA,DUCK,2.12,4781180800.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,DUCK,2.01,4533003200.0
DIAN CIPTAMAS AGUNG PT,DWGL,9.72,224752845000.0
ASURANSI SIMAS JIWA,DWGL,8.28,191535741500.0
PT NUSANTARA INDAH CEMERLANG,DWGL,4.69,108500000000.0
PT YULIE SEKURITAS INDONESIA TBK,DYAN,6.97,23513662700.0
REKSA DANA PANIN DANA MAKSIMA,DYAN,1.22,4125806600.0
UOB KAY HIAN PRIVATE LIMITED,ECII,29.78,76286842560.0
UOB KAY HIAN (HONG KONG) LTD,EDGE,7.5,725776010000.0
DRS SURONO SUBEKTI,EKAD,3.88,24271648200.0
OCBC SECURITIES PRIVATE LIMITED,EKAD,2.92,18291808625.0
BANK OF SINGAPORE LIMITED,ELPI,2.45,351397161000.0
HAIYANTO,ELSA,5.97,324397436000.0
"PANIN SEKURITAS Tbk, PT",ELSA,1.12,61067650000.0
"UBS AG, LONDON",ELSA,1.03,56219424675.0
ASURANSI SIMAS JIWA,ELTY,5.35,93163825960.0
INTERVENTURES CAPITAL PTE. LTD,ELTY,5.12,89105800000.0
BANK OF SINGAPORE LIMITED,ELTY,3.47,60406272000.0
PETROMINE ENERGY TRADING,ELTY,2.61,45436960000.0
DJONI,ELTY,2.59,45063548000.0
REKSA DANA TF SUPER MAXXI,ELTY,2.4,41812840000.0
REKSA DANA OSO FLORES EQUITY FUND,ELTY,1.36,23709176000.0
"Tesco International Capital, PT",ELTY,1.32,22991004000.0
HAIYANTO,ELTY,1.22,21256500000.0
KINGSWOOD UNION CORPORATION,ELTY,1.14,19808551840.0
PT NUSANTARA INDAH CEMERLANG,EMAS,3.75,4525396320000.0
WINATO KARTONO,EMAS,3.73,4499937099400.0
MORGAN STANLEY AND CO INTERNATIONAL PLC,EMAS,1.49,1805253878400.0
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,EMAS,1.16,1397296400000.0
DBS BANK LTD.,EMDE,6.9,17336025000.0
REKSA DANA SUCORINVEST EQUITY PRIMA FUND,EMDE,1.03,2590612500.0
ANTHONI SALIM,EMTK,8.97,4215381198300.0
STANDARD CHARTERED BANK (SINGAPORE) LIMITED,EMTK,1.61,756527625000.0
DEUTSCHE BK AG (PRIVATE BANKING) SPORE WM CLIENT,EMTK,1.01,475766899740.0
BANK OF SINGAPORE LIMITED,ENAK,4.05,30325446800.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,ENRG,11.74,4717354513550.0
CGS INTERNATIONAL SEKURITAS INDONESIA,ENRG,7.59,3050045899450.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,ENRG,6.97,2799060487500.0
PT BAKRIE CAPITAL INDONESIA,ENRG,4.7,1889252040425.0
CGS INTERNATIONAL SECURITIES HONG KONG LIMITED,ENRG,3.04,1223013552500.0
"PANIN SEKURITAS Tbk, PT",ENRG,2.01,806620108975.0
PETROMINE ENERGY TRADING,ENRG,1.38,553509798625.0
PT. KB VALBURY SEKURITAS,ENRG,1.33,532987690625.0
UOB KAY HIAN PRIVATE LIMITED,ENVY,2.24,2013500000.0
DBS BANK LTD.,ENVY,1.15,1035870000.0
SALIM LIM,EPAC,2.13,2958727800.0
CITIBANK NEW YORK S/A RAINBOW FUND LP,EPMT,2.27,142499258080.0
HSBC LTD-SINGAPORE BRANCH PRIVATE BANKING DIVISION ACCOUNT CLIENTS,ERAA,3.3,199206000000.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,ERAA,2.6,156663045000.0
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,ERAA,2.42,146165720400.0
GOVERNMENT OF NORWAY,ERAA,2.31,139331707200.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN PENSIUN,ERAA,2.25,135590565600.0
PT. PRUDENTIAL LIFE ASSURANCE,ERAA,1.1,66056218200.0
RUDY SUSANTO,ERAL,1.16,18075030000.0
REKSA DANA SUCORINVEST SHARIA EQUITY FUND,ERAL,1.13,17637720000.0
GARIBALDI THOHIR,ESSA,14.55,1779158210140.0
IR. T. PERMADI RACHMAT,ESSA,5.37,657353042760.0
JONATHAN CHANG,ESSA,4.44,543097541650.0
BANK OF SINGAPORE LIMITED,ESSA,4.11,502867085000.0
BANK JULIUS BAER & CO. LTD,ESSA,3.62,443259564660.0
PT TRIMEGAH SEKURITAS INDONESIA TBK,ESSA,1.99,242820028400.0
TERRA KONSUMA INVESTAMA,ESSA,1.29,157871766000.0
GOVERNMENT OF NORWAY,ESSA,1.14,139747454000.0
PT. AIA FINANCIAL,ESSA,1.08,131505561000.0
JPMORGAN CHASE BANK NA SINGAPORE BRANCH,ESTA,20.17,102721638390.0
BANK OF SINGAPORE LIMITED,ETWA,1.19,3879092000.0
PT DANATAMA KAPITAL INVESTAMA,EURO,5.06,316215130000.0
PT DANATAMA MAKMUR SEKURITAS,EURO,4.9,306250000000.0
Zurich Assets International Ltd,EURO,3.67,229301625000.0
"Tesco International Capital, PT",EURO,1.21,75497975000.0
UOB KAY HIAN PRIVATE LIMITED,EXCL,5.44,2918048190100.0
CITIBANK HONG KONG S/A CITIBANK HK SA PBG CLIENTS HK,EXCL,2.65,1425336455000.0
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,EXCL,2.5,1343757845300.0
PT ASURANSI CENTRAL ASIA,FAST,4.18,53723931248.0
FIDELITY FUNDS,FAST,2.99,38441956000.0
PT. INDOLIFE PENSIONTAMA,FAST,2.36,30349938320.0
PT SAMUEL SEKURITAS INDONESIA,FILM,11.29,3772144305000.0
MORGAN STANLEY AND CO INTERNATIONAL PLC,FILM,10.46,3497222394230.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,FIRE,23.6,44908621650.0
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,FIRE,1.18,2244600000.0
REKSA DANA SYARIAH TREASURE SAHAM BERKAH SYARIAH,FIRE,1.15,2195451000.0
REKSA DANA SYARIAH AURORA SHARIA EQUITY,FIRE,1.15,2187775500.0
SUWANTARA GOTAMA,FMII,4.85,69508033056.0
DJONI,FOLK,5.14,71059024400.0
FERRY SUDJONO,FORE,4.32,258298132000.0
