investor,stock,company,sector,lf,mar_pct,jan_local_agg_pct,jan_foreign_agg_pct
PT TIRTA ORISA YASA,BUVA,BUKIT ULUWATU VILLA Tbk,,Local,2.88,94.0,6.0
BOARD GATE LIMITED,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Foreign,2.74,88.5,11.5
"GRAHAWITA SANTIKA, PT",DYAN,DYANDRA MEDIA INTERNATIONAL Tbk,,Local,2.72,91.5,0.6
PT PRAKARSA MITRA SENTOSA,TYRE,KING TIRE INDONESIA Tbk,,Local,2.72,20.1,0.1
VALTOS GLOBALINDO PT,TRUE,TRINITI DINAMIK Tbk,,Local,2.72,75.6,0.1
PT BARA SEJAHTERA SUKSES,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,,Local,2.72,67.9,32.1
PT. Anugerah Bumiputra,HELI,JAYA TRISHINDO Tbk,,Local,2.7,89.8,10.2
BOQUETE GROUP S.A.,TKIM,PABRIK KERTAS TJIWI KIMIA Tbk,,Foreign,2.69,11.5,17.3
PT ASKAR PELANGI ABADI,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,2.68,88.5,11.5
SINTAWATY KUSTADY,EKAD,EKADHARMA INTERNATIONAL Tbk,,Local,2.65,93.9,5.2
PT SINERGI LINTAS MEDIA,NETV,MDTV MEDIA TECHNOLOGIES Tbk,,Local,2.62,19.4,0.6
BUDIMULIA INVESTAMA PT,MDKI,EMDEKI UTAMA Tbk,,Local,2.59,15.1,2.6
PT ERDHIKA ELIT SEKURITAS,MMIX,MULTI MEDIKA INTERNASIONAL Tbk,,Local,2.59,99.7,0.3
PT. RAJAWALI KAPITAL AGRO,BWPT,"EAGLE HIGH PLANTATIONS, Tbk",,Local,2.55,57.0,43.0
PT ASKAR PELANGI ABADI,MKNT,MITRA KOMUNIKASI NUSANTARA Tbk,,Local,2.55,96.2,3.8
"NORTHCLIFF INDONESIA, PT",SKYB,NORTHCLIFF CITRANUSA INDONESIA Tbk,,Local,2.52,55.7,44.3
PT ASKAR PELANGI ABADI,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,,Local,2.51,67.9,32.1
PT BARA SEJAHTERA SUKSES,TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,2.46,89.1,10.9
MARINDO INVESTAMA PT,ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk,,Local,2.45,3.8,0.9
PT ANUGERAH INTI KARISMA,PEGE,PANCA GLOBAL KAPITAL Tbk,,Local,2.45,61.1,38.9
PT MINNA PADI INVESTAMA SEKURITAS Tbk,BTEL,BAKRIE TELECOM Tbk,,Local,2.36,83.7,15.5
PT. Arima Karya Persada,TARA,AGUNG SEMESTA SEJAHTERA Tbk,,Local,2.32,89.1,10.9
PT EKAPUTRI MANDIRI,RANC,SUPRA BOGA LESTARI Tbk,,Local,2.32,100.0,0.0
PT MINNA PADI INVESTAMA SEKURITAS Tbk,ANDI,ANDIRA AGRO Tbk,,Local,2.31,50.2,0.0
PT SEMESTA DAYA MAKMUR,KIOS,KIOSON KOMERSIAL INDONESIA Tbk,,Local,2.3,97.2,2.8
WAHANA KREASI INVESTAMA PT,NASI,WAHANA INTI MAKMUR Tbk,,Local,2.27,29.6,0.1
PT ZED UTAMA PERSADA,BHAT,BHAKTI MULTI ARTHA Tbk,,Local,2.26,76.6,23.4
PERSADA ANUGERAH MAKMUR PT,INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk,,Local,2.23,42.6,8.1
PT SEMESTA RAYA PERMAI,TYRE,KING TIRE INDONESIA Tbk,,Local,2.23,20.1,0.1
DRS LO KHENG HONG,RALS,RAMAYANA LESTARI SENTOSA Tbk,,Local,2.19,35.1,5.4
PT. BINTANG SAMPURNA CEMERLANG,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,,Local,2.18,100.0,0.0
PT ASKAR PELANGI ABADI,KOTA,DMS PROPERTINDO Tbk,,Local,2.18,98.1,1.9
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,PCAR,PRIMA CAKRAWALA ABADI Tbk,,Local,2.17,99.9,0.1
THIO ANDRIANTO,DOID,BUMA INTERNASIONAL GRUP Tbk,,Local,2.15,36.1,63.9
MOCH ADHI PAMUNGKAS,SPRE,SORAYA BERJAYA INDONESIA Tbk,,Local,2.15,81.8,0.7
SALIM LIM,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,,Local,2.13,100.0,0.0
"PRIMA GRAHA HIBURAN,PT",INDS,INDOSPRING Tbk,,Local,2.12,94.5,5.1
DBS BANK LTD.,PACK,ABADI NUSANTARA HIJAU INVESTAMA Tbk,,Foreign,2.09,91.9,8.1
PT Prima Solusi Investasi,IDEA,IDEA INDONESIA AKADEMI Tbk,,Local,2.09,99.1,0.9
PT. TRIPLE BERKAH BERSAMA,GPSO,GEOPRIMA SOLUSI Tbk,,Local,2.09,98.1,1.9
ERI RAMDANI,BRRC,RAJA ROTI CEMERLANG Tbk,,Local,2.07,99.2,0.8
"AMANDA CIPTA PERSADA, PT",BLOG,TRIMITRA TRANS PERSADA Tbk,,Local,2.07,99.9,0.1
PT IMC PELITA LOGISTIK TBK,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,,Local,2.05,87.9,12.1
TIE LI,OLIV,OSCAR MITRA SUKSES SEJAHTERA Tbk,,Foreign,2.01,97.9,2.1
INDRAWATI TJENDANA,AIMS,ARTHA MAHIYA INVESTAMA Tbk,,Local,2.01,99.2,0.8
PT. AMAN DHITYA INVESTAMA,WEHA,WEHA TRANSPORTASI INDONESIA Tbk,,Local,2.0,98.9,0.8
KADAFI YAHYA,BAPI,BHAKTI AGUNG PROPERTINDO Tbk,,Local,1.99,29.5,0.5
PT TOPINDO MEDIA INVESTAMA,TOSK,TOPINDO SOLUSI KOMUNIKA Tbk,,Local,1.99,52.0,0.7
"TIRTA CITRA SOLUSI, PT",NASA,ANDALAN PERKASA ABADI Tbk,,Local,1.95,100.0,0.0
JAMBOL IWANTO,CSRA,CISADANE SAWIT RAYA Tbk,,Local,1.94,92.5,7.5
PT BERKAT MITRA PATRIA,ENRG,ENERGI MEGA PERSADA Tbk,,Local,1.91,86.1,13.9
"PROSPERA KAPITAL INVESTAMA, PT",ARKO,ARKORA HYDRO Tbk,,Local,1.9,98.3,1.7
UBS AG SINGAPORE BRANCH,BBHI,ALLO BANK INDONESIA Tbk,,Foreign,1.88,87.7,11.3
PT SEJAHTERA MAHKOTA PERSADA,CASA,CAPITAL FINANCIAL INDONESIA Tbk,,Local,1.87,69.4,20.2
Reksa Dana Victoria Equity Maxima,NUSA,SINERGI MEGAH INTERNUSA Tbk,,Local,1.84,94.8,0.1
UOB KAY HIAN PRIVATE LIMITED,TCPI,TRANSCOAL PACIFIC Tbk,,Foreign,1.82,13.8,8.2
PT BERKAT MITRA PRIMA,SGER,SUMBER GLOBAL ENERGY Tbk,,Local,1.82,44.4,0.3
PT. PRUDENTIAL LIFE ASSURANCE,MAPI,MITRA ADIPERKASA Tbk,,Local,1.78,67.1,32.9
PT. Bara Sejahtera Sukses,CASA,CAPITAL FINANCIAL INDONESIA Tbk,,Local,1.76,69.4,20.2
PT FIRSTINDO FINANSIAL CORPORA,ITMA,SUMBER ENERGI ANDALAN Tbk,,Local,1.76,95.9,3.5
PT MINNA PADI INVESTAMA SEKURITAS Tbk,HOME,HOTEL MANDARINE REGENCY Tbk,,Local,1.73,93.7,0.8
OCBC SECURITIES PRIVATE LIMITED,IDEA,IDEA INDONESIA AKADEMI Tbk,,Foreign,1.71,99.1,0.9
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,IIKP,INTI AGRI RESOURCES Tbk,,Local,1.71,90.8,8.3
SAFARI ASIA LIMITED,BEEF,ESTIKA TATA TIARA Tbk,,Foreign,1.7,29.1,70.9
DJONI,SOFA,SOLUSI ENVIRONMENT ASIA Tbk,,Local,1.69,99.8,0.2
DJUN KONG,YOII,ASURANSI DIGITAL BERSAMA Tbk,,Local,1.68,25.3,5.2
SALIM LIM,ADHI,ADHI KARYA (PERSERO) Tbk,,Local,1.67,34.4,1.3
BARTO HENDRICHO SIBURIAN,BMBL,LAVENDER BINA CENDIKIA Tbk,,Local,1.66,87.1,0.0
PT ALDIRACITA SEKURITAS INDONESIA,SUGI,"SUGIH ENERGY Tbk, PT",,Local,1.65,59.2,40.2
"JEMBO CABLE COMPANY TBK, PT",TBMS,TEMBAGA MULIA SEMANAN Tbk,,Local,1.63,9.6,16.8
DRS LO KHENG HONG,CFIN,CLIPAN FINANCE INDONESIA Tbk,,Local,1.63,83.2,16.8
PT. DUNIA SURYA BAKTI,BANK,BANK ALADIN SYARIAH Tbk,,Local,1.63,83.2,10.4
FRANSISKA DIANA PATRISIA VALENSIA,IRSX,FOLAGO GLOBAL NUSANTARA Tbk,,Local,1.61,99.7,0.3
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,HADE,HIMALAYA ENERGI PERKASA Tbk,,Local,1.6,65.6,0.6
FERRY SUDJONO,SSIA,SURYA SEMESTA INTERNUSA Tbk,,Local,1.6,82.7,17.1
PT SANTINILESTARI LOKAPRIMA,ALKA,ALAKASA INDUSTRINDO Tbk,,Local,1.6,12.6,0.5
"ADRINDO INTIPERKASA, PT",GWSA,GREENWOOD SEJAHTERA Tbk,,Local,1.59,20.3,0.2
PT PINDO DELI PULP AND PAPER MILLS,SMMA,SINAR MAS MULTIARTHA Tbk,,Local,1.58,81.9,13.1
PT. PRUDENTIAL LIFE ASSURANCE,MIDI,MIDI UTAMA INDONESIA Tbk,,Local,1.54,93.5,4.6
DR KISHORE KUMAR,ATAP,TRIMITRA PRAWARA GOLDLAND Tbk,,Local,1.53,19.9,0.1
PT Bara Makmur Abadi,TOBA,TBS ENERGI UTAMA Tbk,,Local,1.53,38.4,60.9
JAHJA TEAR TJAHJANA,DGIK,NUSA KONSTRUKSI ENJINIRING Tbk,,Local,1.51,84.2,13.0
"MANDALAPRATAMA PERMAI, PT",GOLF,INTRA GOLFLINK RESORTS Tbk,,Local,1.5,9.9,0.1
PT. ANGGUN MILLING ESAJAYA,BOSS,BORNEO OLAH SARANA SUKSES Tbk,,Local,1.5,99.5,0.5
"UBS AG, LONDON",KETR,KETROSDEN TRIASMITRA Tbk,,Foreign,1.49,41.5,2.0
PT CEMERLANG AGUNG SENTOSA,SGER,SUMBER GLOBAL ENERGY Tbk,,Local,1.48,44.4,0.3
SURYA CAHAYA PRIMA,OILS,INDO OIL PERKASA Tbk,,Local,1.48,37.4,0.1
PT. PAPAN DAYA UTAMA,KOTA,DMS PROPERTINDO Tbk,,Local,1.47,98.1,1.9
BARCLAYS CAPITAL SECURITIES LIMITED,PART,CIPTA PERDANA LANCAR Tbk,,Foreign,1.47,23.9,1.7
PT Prima Solusi Investasi,NAYZ,HASSANA BOGA SEJAHTERA TBK,,Local,1.45,99.9,0.1
DRS LALU MARA SATRIAWANGSA,ISAP,ISRA PRESISI INDONESIA Tbk,,Local,1.44,99.3,0.1
REKSADANA HPAM ULTIMA EKUITAS,PRDA,PRODIA WIDYAHUSADA Tbk,,Local,1.43,20.0,20.0
PT KALIMANTAN BARA MAJU,PACK,ABADI NUSANTARA HIJAU INVESTAMA Tbk,,Local,1.43,91.9,8.1
NUANSA INDAH KREASI PT,TRIM,TRIMEGAH SEKURITAS INDONESIA Tbk,,Local,1.43,85.8,14.2
PT. PRUDENTIAL LIFE ASSURANCE,MAPA,MAP AKTIF ADIPERKASA Tbk,,Local,1.42,8.3,22.9
ZICO TRUST (S) LTD,MINE,SINAR TERANG MANDIRI Tbk,,Foreign,1.41,95.0,5.0
Reksa Dana Victoria Equity Maxima,BAPI,BHAKTI AGUNG PROPERTINDO Tbk,,Local,1.41,29.5,0.5
FIDELITY FUNDS,ISAT,INDOSAT Tbk,,Foreign,1.4,21.4,78.6
PT ASKAR PELANGI ABADI,VINS,VICTORIA INSURANCE Tbk,,Local,1.4,100.0,0.0
PT LANGGENG MURNI LAKSANA,TKIM,PABRIK KERTAS TJIWI KIMIA Tbk,,Local,1.4,11.5,17.3
OKIE DJAYA RAHARDJA,TRIN,PERINTIS TRINITI PROPERTI Tbk,,Local,1.4,97.1,0.8
PT. PRUDENTIAL LIFE ASSURANCE,TINS,TIMAH Tbk,,Local,1.38,27.1,7.9
PT BARA SEJAHTERA SUKSES,STAR,BUANA ARTHA ANUGERAH Tbk,,Local,1.36,53.6,46.4
MUHAMMAD SARJONO,ATLA,ATLANTIS SUBSEA INDONESIA Tbk,,Local,1.35,98.9,1.1
DRS LO KHENG HONG,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,,Local,1.34,87.9,12.1
MANOHARDAS PITOOMAL,ATAP,TRIMITRA PRAWARA GOLDLAND Tbk,,Local,1.33,19.9,0.1
PT KAIROS EKSPRES INTERNASIONAL,ABBA,MAHAKA MEDIA Tbk,,Local,1.33,87.2,1.1
PT Sejahtera Bersama Triwira,WIRG,WIR ASIA Tbk,,Local,1.31,87.8,10.2
PT BINA KARYA LOKA,BANK,BANK ALADIN SYARIAH Tbk,,Local,1.31,83.2,10.4
DRS LO KHENG HONG,LSIP,PP LONDON SUMATRA INDONESIA Tbk,,Local,1.31,27.4,13.1
INV MANAGEMENT PTE LTD,DEWA,DARMA HENWA Tbk,,Foreign,1.3,72.3,27.7
BARCLAYS CAPITAL SECURITIES LIMITED,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,,Foreign,1.3,71.3,28.6
DRS LO KHENG HONG,ADMG,POLYCHEM INDONESIA Tbk,,Local,1.29,49.0,49.9
FRANSISKA DIANA PATRISIA VALENSIA,ELTY,BAKRIELAND DEVELOPMENT Tbk,,Local,1.29,86.2,12.0
PT. Victoria Investama Tbk,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,1.27,88.5,11.5
PT VICTORIA SEKURITAS INDONESIA,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,1.27,88.5,11.5
PT. PRUDENTIAL LIFE ASSURANCE,MYOR,MAYORA INDAH Tbk,,Local,1.26,8.3,7.2
"GADING DANALESTARI, PT",WMPP,WIDODO MAKMUR PERKASA Tbk,,Local,1.25,58.0,7.8
IR JANG AGUNG HANDOKO,NASI,WAHANA INTI MAKMUR Tbk,,Local,1.25,29.6,0.1
PT ASKAR PELANGI ABADI,MGNA,MAGNA INVESTAMA MANDIRI Tbk,,Local,1.25,89.5,10.5
SARI YANTO,BMBL,LAVENDER BINA CENDIKIA Tbk,,Local,1.24,87.1,0.0
DRS LO KHENG HONG,MAIN,MALINDO FEEDMILL Tbk,,Local,1.24,20.8,79.2
RANMORE GLOBAL EQUITY FUND PLC,INDF,INDOFOOD SUKSES MAKMUR Tbk,,Foreign,1.24,12.7,36.9
AZOFA SE,ISAP,ISRA PRESISI INDONESIA Tbk,,Local,1.24,99.3,0.1
STELLA MARSHA CONNERY,HOPE,HARAPAN DUTA PERTIWI Tbk,,Local,1.23,95.8,3.6
PT. PRUDENTIAL LIFE ASSURANCE,HRTA,HARTADINATA ABADI Tbk,,Local,1.23,92.0,8.0
DRS LO KHENG HONG,PNIN,PANINVEST Tbk,,Local,1.23,31.9,10.3
JING GAO,GRPH,GRIPTHA PUTRA PERSADA Tbk,,Foreign,1.22,99.9,0.1
PT. BUMI SERPONG DAMAI Tbk,BSDE,BUMI SERPONG DAMAI Tbk,,Local,1.22,26.9,13.9
PT. INTIPUTRA FIKASA,MIRA,MITRA INTERNATIONAL RESOURCES Tbk,,Local,1.21,98.6,1.4
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,TRAM,TRADA ALAM MINERA Tbk,,Local,1.2,92.7,7.3
PT Reksa Maju Makmur,SSMS,SAWIT SUMBERMAS SARANA Tbk,,Local,1.2,27.4,18.8
PT BERLIAN TAMBANG INDONESIA,MINA,SANURHASTA MITRA Tbk,,Local,1.19,99.4,0.6
RISDIYANTO KURNIAWAN,BMBL,LAVENDER BINA CENDIKIA Tbk,,Local,1.19,87.1,0.0
JIMMY SETIAWAN,AYLS,AGRO YASA LESTARI Tbk,,Local,1.17,97.8,2.2
EMPLOYEES PROVIDENT FUND BOARD,ANTM,ANEKA TAMBANG Tbk,,Foreign,1.16,13.1,21.8
BUDIMULIA INVESTAMA PT,JKON,JAYA KONSTRUKSI MANGGALA PRATAMA Tbk,,Local,1.15,93.3,4.3
CACEIS BANK/NON TREATY UCITS CLIENTS,GJTL,GAJAH TUNGGAL Tbk,,Foreign,1.15,28.6,21.4
RISDIYANTO KURNIAWAN,WIDI,WIDIANT JAYA KRENINDO Tbk,,Local,1.14,49.4,0.6
JIMMY SETIAWAN,SMGA,SUMBER MINERAL GLOBAL ABADI Tbk,,Local,1.14,48.8,0.9
SALIM LIM,PURA,PUTRA RAJAWALI KENCANA Tbk,,Local,1.14,95.7,4.3
ANTHONY SETIADI,PTIS,INDO STRAITS Tbk,,Local,1.14,8.1,10.1
ANI ROLIYANI,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,,Local,1.14,94.0,6.0
DANIEL MARTIN TJITRA,SMKM,SUMBER MAS KONSTRUKSI Tbk,,Local,1.13,67.9,32.1
WILLIAM ANTO,NASI,WAHANA INTI MAKMUR Tbk,,Local,1.13,29.6,0.1
Reksa Dana Syariah Pan Arcadia Ekuitas Syariah Progresif,SMRU,SMR UTAMA Tbk,,Local,1.13,97.9,2.1
UNIVERSAL MEDIA HOLDINGS CORP,KPIG,MNC LAND Tbk,,Foreign,1.12,42.9,57.1
PT. AIA FINANCIAL,WIIM,WISMILAK INTI MAKMUR Tbk,,Local,1.12,48.1,4.4
"PRAJA PERSADA IMPERIUM, PT",VKTR,VKTR TEKNOLOGI MOBILITAS Tbk,,Local,1.12,85.4,14.6
LILIEK ANDRIANI HADIWIBOWO,IBFN,INTAN BARU PRANA Tbk,,Local,1.11,97.3,2.7
ABDURRAHMAN AHMAD SYARIF,GRPH,GRIPTHA PUTRA PERSADA Tbk,,Local,1.11,99.9,0.1
ISNAIN ARDIANSYAH,BRRC,RAJA ROTI CEMERLANG Tbk,,Local,1.11,99.2,0.8
PT. PRUDENTIAL LIFE ASSURANCE,ERAA,ERAJAYA SWASEMBADA Tbk,,Local,1.1,41.9,19.2
VANECK JUNIOR GOLD MINERS ETF,EMAS,MERDEKA GOLD RESOURCES Tbk,,Foreign,1.1,87.0,12.6
PT SEJAHTERA MAHKOTA PERSADA,ARMY,ARMIDIAN KARYATAMA Tbk,,Local,1.1,91.7,5.8
ANDY TANUJAYA,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,,Local,1.09,94.0,6.0
PT. PRUDENTIAL LIFE ASSURANCE,AUTO,ASTRA OTOPARTS Tbk,,Local,1.09,9.3,10.7
WILLY,AYAM,JANU PUTRA SEJAHTERA Tbk,,Local,1.09,96.3,2.1
CHARLY CAESAR,SMKM,SUMBER MAS KONSTRUKSI Tbk,,Local,1.09,67.9,32.1
ERNAWATI MUCHTAR,NZIA,NUSANTARA ALMAZIA Tbk,,Local,1.09,20.9,0.1
"CACEIS BANK, LUXEMBOURG BRANCH/ UCITS CLIENTS",PRDA,PRODIA WIDYAHUSADA Tbk,,Foreign,1.09,20.0,20.0
EMERSON LIM,MPIX,MITRA PEDAGANG INDONESIA Tbk,,Local,1.08,31.2,0.1
PT. KAWASAN LINTAS BIRU DIGITAL,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,,Local,1.08,87.9,12.1
PT. AIA FINANCIAL,ESSA,ESSA INDUSTRIES INDONESIA Tbk,,Local,1.08,78.7,21.3
ZICO TRUST (S) LTD,TOTO,SURYA TOTO INDONESIA Tbk,,Foreign,1.08,10.8,3.5
PT. PRUDENTIAL LIFE ASSURANCE,ACES,ASPIRASI HIDUP INDONESIA Tbk,,Local,1.07,80.9,19.1
PT ASKAR PELANGI ABADI,BCIP,BUMI CITRA PERMAI Tbk,,Local,1.07,97.8,2.2
TIO TJIE BENG AL SUGIARTO P,IKAN,ERA MANDIRI CEMERLANG Tbk,,Local,1.07,99.7,0.3
BELVIN TANNADI,NZIA,NUSANTARA ALMAZIA Tbk,,Local,1.07,20.9,0.1
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,JPFA,JAPFA COMFEED INDONESIA Tbk,,Foreign,1.07,9.6,90.0
SMG MANAGEMENT LIMITED,MDKA,MERDEKA COPPER GOLD Tbk,,Foreign,1.07,71.1,24.9
INDRAWATI TJENDANA,WOOD,INTEGRA INDOCABINET Tbk,,Local,1.07,45.2,0.8
HENRY SARTONO,BRRC,RAJA ROTI CEMERLANG Tbk,,Local,1.07,99.2,0.8
KENDRIK WISAN,WIRG,WIR ASIA Tbk,,Local,1.07,87.8,10.2
PT. MULYA PRIMA ABADI,SGER,SUMBER GLOBAL ENERGY Tbk,,Local,1.06,44.4,0.3
"TIRTA CITRA SOLUSI, PT",STAR,BUANA ARTHA ANUGERAH Tbk,,Local,1.06,53.6,46.4
"IR. THOMAS JUSMAN, MM",KRYA,BANGUN KARYA PERKASA JAYA Tbk,,Local,1.06,67.5,20.5
GOVERNMENT OF NORWAY,ARCI,ARCHI INDONESIA Tbk,,Foreign,1.06,96.8,3.2
BARCLAYS CAPITAL SECURITIES LIMITED,PIPA,MULTI MAKMUR LEMINDO Tbk,,Foreign,1.06,98.9,1.1
JASON TAN,MSJA,MULTI SPUNINDO JAYA Tbk,,Foreign,1.05,21.5,1.6
KEVIN MULJONO,CSMI,CIPTA SELERA MURNI Tbk,,Local,1.05,43.5,0.3
"UBS AG, LONDON",BULL,BUANA LINTAS LAUTAN Tbk,,Foreign,1.05,70.5,29.6
"SUMBER ALFARIA TRIJAYA, TBK",AMRT,SUMBER ALFARIA TRIJAYA Tbk,,Local,1.04,51.7,33.0
PT. PRUDENTIAL LIFE ASSURANCE,CMRY,CISARUA MOUNTAIN DAIRY Tbk,,Local,1.04,10.4,20.0
MICHELLE ELWINDREF SETIAWAN,INPS,INDAH PRAKASA SENTOSA Tbk,,Local,1.04,94.0,0.0
PT EKUITAS UTAMA SEJAHTERA,IKAI,INTIKERAMIK ALAMASRI INDUSTRI Tbk,,Local,1.04,79.3,0.7
DRS SURONO SUBEKTI,BLOG,TRIMITRA TRANS PERSADA Tbk,,Local,1.03,99.9,0.1
PT ECOCARE INDO PASIFIK TBK,HYGN,ECOCARE INDO PASIFIK Tbk,,Local,1.03,92.5,7.5
HONKY HARJO,APLN,AGUNG PODOMORO LAND Tbk,,Local,1.03,55.7,1.6
SURYANI,NINE,TECHNO9 INDONESIA Tbk,,Local,1.03,63.6,36.4
ALPHONSUS A DHARMAWAN,SQMI,WILTON MAKMUR INDONESIA Tbk,,Local,1.03,21.5,78.5
ANDRE HANJAYA,LMAX,LUPROMAX PELUMAS INDONESIA Tbk,,Local,1.02,29.7,0.3
DOMINIC AUDY NATHALOVA,INCF,INDO KOMODITI KORPORA Tbk,,Local,1.02,98.8,0.2
NUGRAHANING DYAH LARASATI,AIMS,ARTHA MAHIYA INVESTAMA Tbk,,Local,1.02,99.2,0.8
KUSWIRA,AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk,,Local,1.02,94.0,6.0
"UBS AG, LONDON",NRCA,NUSA RAYA CIPTA Tbk,,Foreign,1.02,97.5,1.9
BEKTI SUTIKNA,JGLE,GRAHA ANDRASENTRA PROPERTINDO Tbk,,Local,1.02,72.6,27.4
"HARRY PRAPTOYO, S.HUT, MP",LABA,GREEN POWER GROUP Tbk,,Local,1.02,99.3,0.7
SUGENG WIJAYA SUTEDJA,BBSS,BUMI BENOWO SUKSES SEJAHTERA Tbk,,Local,1.02,27.1,0.0
DRS LO KHENG HONG,SRIL,SRI REJEKI ISMAN Tbk,,Local,1.02,80.2,17.7
BARCLAYS CAPITAL SECURITIES LIMITED,ATLA,ATLANTIS SUBSEA INDONESIA Tbk,,Foreign,1.02,98.9,1.1
SUKIMAN LEE,TCID,MANDOM INDONESIA Tbk,,Local,1.01,15.5,2.3
JEANNIE,DGNS,DIAGNOS LABORATORIUM UTAMA Tbk,,Local,1.01,21.2,0.8
PT MIDLAND PROPERTI INDONESIA,SMKM,SUMBER MAS KONSTRUKSI Tbk,,Local,1.01,67.9,32.1
MERCER QIF FUND PLC,ACES,ASPIRASI HIDUP INDONESIA Tbk,,Foreign,1.01,80.9,19.1
MANOJ PITAMBER NANWANI,LPKR,LIPPO KARAWACI Tbk,,Local,1.01,55.5,43.1
ROY TJOKROWIDJOYO,RBMS,RISTIA BINTANG MAHKOTASEJATI Tbk,,Local,1.01,99.9,0.0
ONG MOIJ ING,PANS,PANIN SEKURITAS Tbk,,Local,1.0,76.1,2.0
BARCLAYS CAPITAL SECURITIES LIMITED,PADA,PERSONEL ALIH DAYA Tbk,,Foreign,1.0,99.8,0.2
Daniel Hadibrata,MPIX,MITRA PEDAGANG INDONESIA Tbk,,Local,1.0,31.2,0.1
"CACEIS BANK, LUXEMBOURG BRANCH",AVIA,AVIA AVIAN Tbk,,Foreign,1.0,41.2,18.2
PT MAYORA INDAH TBK,MYOR,MAYORA INDAH Tbk,,Local,1.0,8.3,7.2
PT. BCA SEKURITAS,ROTI,NIPPON INDOSARI CORPINDO Tbk,,Local,1.0,36.3,55.2
PT ANAK GUNUNG SENTOSA,OMED,JAYAMAS MEDICA INDUSTRI Tbk,,Local,1.0,6.5,8.5
