investor,stock,company,sector,lf,feb_pct,mar_pct,delta_pct,jan_local_agg_pct,jan_foreign_agg_pct
PRAJOGO PANGESTU,CUAN,PETRINDO JAYA KREASI Tbk,,Local,84.1,5.02,-79.08,2.6,13.3
SAMUDERA INDONESIA TANGGUH,SMDR,SAMUDERA INDONESIA Tbk,,Local,1.92,58.0,56.08,21.9,3.0
CITRA BORNEO INDAH,SSMS,SAWIT SUMBERMAS SARANA Tbk,,Local,12.08,65.83,53.75,27.4,18.8
PT SUNTERRA INDONESIA,TRGU,CERESTAR INDONESIA Tbk,,Local,30.07,81.12,51.05,35.1,13.8
PT MEDIA NUSANTARA CITRA TBK,MSIN,MNC DIGITAL ENTERTAINMENT Tbk,,Local,8.4,58.41,50.01,38.5,11.5
KURNYATJAN SAKTI EFENDIE,KLAS,PELAYARAN KURNIA LAUTAN SEMESTA Tbk,,Local,71.67,30.43,-41.24,27.5,0.7
PT. BUNDA INVESTAMA INDONESIA,DGNS,DIAGNOS LABORATORIUM UTAMA Tbk,,Local,38.8,3.32,-35.48,21.2,0.8
PT PARAGA ARTAMIDA,BSDE,BUMI SERPONG DAMAI Tbk,,Local,6.8,40.35,33.55,26.9,13.9
AGPA PTE. LTD.,SGRO,PRIME AGRI RESOURCES Tbk,,Foreign,65.72,98.7,32.98,20.1,79.9
PT PRISMATAMA NUGRAHA,AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,,Local,6.04,27.28,21.24,40.3,0.1
PT. AVIA NUSANTARA KHATULISTIWA,HELI,JAYA TRISHINDO Tbk,,Local,27.03,7.55,-19.48,89.8,10.2
"PROF.DR.IR. ANASTASIA SULISTYAWATI, M.S., M.M., D.TH",ICON,ISLAND CONCEPTS INDONESIA Tbk,,Local,15.68,34.76,19.08,71.9,3.5
AURIC DIGITAL RETAIL PTE LTD,LPPF,MATAHARI DEPARTMENT STORE Tbk,,Foreign,29.23,42.51,13.28,42.3,57.7
PT TRISULA INSAN TIARA,TRIS,TRISULA INTERNATIONAL Tbk,,Local,3.18,16.01,12.83,49.3,8.8
PT. INTI NUSA DAMAI,TRIS,TRISULA INTERNATIONAL Tbk,,Local,20.16,31.27,11.11,49.3,8.8
PT. HARIMAS TUNGGAL PERKASA,IMPC,IMPACK PRATAMA INDUSTRI Tbk,,Local,35.74,44.85,9.11,45.0,10.2
WINTERMARJAYA LESTARI PT.,WINS,WINTERMAR OFFSHORE MARINE Tbk,,Local,25.55,34.01,8.46,62.5,15.1
VERAH WAHYUDI S WONG,TAMA,LANCARTAMA SEJATI Tbk,,Local,1.06,8.07,7.01,92.2,0.1
PT MARTENSITE UNGGUL,TIRA,TIRA AUSTENITE Tbk,,Local,37.94,32.48,-5.46,99.8,0.0
PT. Idea Asia Investama,IDEA,IDEA INDONESIA AKADEMI Tbk,,Local,35.66,30.34,-5.32,99.1,0.9
PT. CITRAJAYA PERKASAMULIA,PICO,PELANGI INDAH CANINDO Tbk,,Local,31.7,36.65,4.95,98.6,0.4
DBS VICKERS (HONG KONG) LIMITED A/C CLIENT,VOKS,VOKSEL ELECTRIC Tbk,,Foreign,30.08,25.18,-4.9,15.0,84.8
PT MANDARA MAS SEMESTA,AMMS,AGUNG MENJANGAN MAS Tbk,,Local,29.0,24.1,-4.9,48.9,51.1
HASIM SUTIONO,CASH,CASHLEZ WORLDWIDE INDONESIA Tbk,,Local,26.65,31.31,4.66,97.9,2.1
PT. PRAMBANAN INVESTASI SUKSES,DOOH,ERA MEDIA SEJAHTERA Tbk,,Local,70.3,66.09,-4.21,99.2,0.4
PT DANATAMA KAPITAL INVESTAMA,BULL,BUANA LINTAS LAUTAN Tbk,,Local,1.18,5.37,4.19,70.5,29.6
PRAYOGA PUTERA UTAMA,TIRA,TIRA AUSTENITE Tbk,,Local,1.65,5.27,3.62,99.8,0.0
WILTON RESOURCES HOLDING PTE LTD,SQMI,WILTON MAKMUR INDONESIA Tbk,,Foreign,48.9,52.47,3.57,21.5,78.5
PT SAMUEL SEKURITAS INDONESIA,FILM,MD ENTERTAINMENT Tbk,,Local,7.91,11.29,3.38,22.3,23.9
PT. PEMENANG NUSANTARA INTERNASIONAL,WINR,WINNER NUSANTARA JAYA Tbk,,Local,68.08,64.74,-3.34,99.4,0.5
VERAH WAHYUDI S WONG,ATAP,TRIMITRA PRAWARA GOLDLAND Tbk,,Local,4.33,1.03,-3.3,19.9,0.1
SANDRA ANGELIA,CASH,CASHLEZ WORLDWIDE INDONESIA Tbk,,Local,3.59,6.77,3.18,97.9,2.1
PT SUKSES MAKMUR JAYAPRATAMA,NATO,SURYA PERMATA ANDALAN Tbk,,Local,10.67,7.54,-3.13,69.7,30.3
PT HILLCON EQUITY MANAGEMENT,HILL,HILLCON Tbk,,Local,41.41,38.29,-3.12,80.3,3.6
INDORAMA HOLDINGS B.V.,INDR,INDO-RAMA SYNTHETICS Tbk,,Foreign,64.18,67.28,3.1,5.1,2.5
BIO MAJESTY PTE. LTD.,PRDA,PRODIA WIDYAHUSADA Tbk,,Foreign,15.0,12.0,-3.0,20.0,20.0
SUJAKA LAYS,COAL,BLACK DIAMOND RESOURCES Tbk,,Local,34.89,31.93,-2.96,95.1,0.9
PT RMK INVESTAMA,RMKO,ROYALTAMA MULIA KONTRAKTORINDO Tbk,,Local,15.4,12.5,-2.9,44.8,0.2
PT RAMAYANA LESTARI SENTOSA,RALS,RAMAYANA LESTARI SENTOSA Tbk,,Local,16.41,13.55,-2.86,35.1,5.4
DMS INVESTAMA PT,KOTA,DMS PROPERTINDO Tbk,,Local,40.78,43.54,2.76,98.1,1.9
PT MULTIKARSA INVESTAMA,POLY,ASIA PACIFIC FIBERS Tbk,,Local,3.03,5.68,2.65,30.7,66.3
PT SARANA MEDITAMA METROPOLITAN TBK,RSGK,KEDOYA ADYARAYA Tbk,,Local,79.84,77.31,-2.53,99.7,0.3
UOB KAY HIAN PRIVATE LIMITED,JAST,JASNITA TELEKOMINDO Tbk,,Foreign,29.95,32.42,2.47,66.5,30.9
PT RODA LANGIT SEMESTA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,1.16,3.62,2.46,99.0,1.0
KANAWA RIZKI INVESTAMA PT,SOTS,SATRIA MEGA KENCANA Tbk,,Local,2.53,4.83,2.3,100.0,0.0
ANWAR TAY,TAYS,JAYA SWARASA AGUNG Tbk,,Local,35.93,33.65,-2.28,77.7,15.0
PT WIRA CAKRA BERLIAN,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,1.85,3.94,2.09,99.0,1.0
PT GEMA LINTAS BENUA,KETR,KETROSDEN TRIASMITRA Tbk,,Local,20.0,17.99,-2.01,41.5,2.0
PT. BENTUK KARYA NUSANTARA,PSAT,PANCARAN SAMUDERA TRANSPORT Tbk,,Local,1.17,3.08,1.91,14.9,0.1
DMS INVESTAMA PT,BNBR,BAKRIE AND BROTHERS Tbk,,Local,1.7,3.6,1.9,16.8,52.9
PORT FRASER INTERNATIONAL LTD,BNBR,BAKRIE AND BROTHERS Tbk,,Foreign,24.31,22.41,-1.9,16.8,52.9
PT JESIVINDO JUVATAMA,DEFI,DANASUPRA ERAPACIFIC Tbk,,Local,14.93,13.08,-1.85,56.7,5.9
PT KUANTUM AKSELERASI INDONESIA,VKTR,VKTR TEKNOLOGI MOBILITAS Tbk,,Local,5.14,3.3,-1.84,85.4,14.6
ISLAND REGENCY GROUP LIMITED,ICON,ISLAND CONCEPTS INDONESIA Tbk,,Foreign,3.87,5.71,1.84,71.9,3.5
PT. KB VALBURY SEKURITAS,VKTR,VKTR TEKNOLOGI MOBILITAS Tbk,,Local,1.03,2.86,1.83,85.4,14.6
BANQUE PICTET AND CIE SA,VIVA,VISI MEDIA ASIA Tbk,,Foreign,5.74,3.94,-1.8,65.3,34.4
"SURYA GANESA AMANI, PT",VIVA,VISI MEDIA ASIA Tbk,,Local,5.1,6.9,1.8,65.3,34.4
IR. T. PERMADI RACHMAT,ESSA,ESSA INDUSTRIES INDONESIA Tbk,,Local,7.16,5.37,-1.79,78.7,21.3
PT EVMOTO TEKNOLOGI INDONESIA,KRYA,BANGUN KARYA PERKASA JAYA Tbk,,Local,4.54,2.76,-1.78,67.5,20.5
EQUATOREX SDN BHD,INDX,TANAH LAUT Tbk,,Foreign,38.11,36.35,-1.76,34.9,64.3
PT WARNA CIPTA KARYA,PSAT,PANCARAN SAMUDERA TRANSPORT Tbk,,Local,1.02,2.72,1.7,14.9,0.1
EDIE,BEEF,ESTIKA TATA TIARA Tbk,,Local,8.11,6.41,-1.7,29.1,70.9
IRSYAD HANIF,GULA,AMAN AGRINDO Tbk,,Local,5.37,7.05,1.68,98.7,1.3
HIMAWAN SUTANTO,BAPI,BHAKTI AGUNG PROPERTINDO Tbk,,Local,12.15,10.49,-1.66,29.5,0.5
WIRA GLOBAL SOLUSI,TAYS,JAYA SWARASA AGUNG Tbk,,Local,2.23,3.87,1.64,77.7,15.0
PT SAMUEL SEKURITAS INDONESIA,RLCO,ABADI LESTARI INDONESIA Tbk,,Local,2.81,4.43,1.62,94.7,5.3
WINSLEY INTERNATIONAL ENGINEERING LIMITED,EXCL,XLSMART TELECOM SEJAHTERA Tbk,,Foreign,4.84,3.27,-1.57,24.1,58.2
HARITA JAYARAYA,NCKL,TRIMEGAH BANGUN PERSADA Tbk,,Local,3.16,1.64,-1.52,8.6,12.3
RELIANCEVER HOLDINGS INC,KPIG,MNC LAND Tbk,,Foreign,3.94,2.44,-1.5,42.9,57.1
SAMUEL INTERNATIONAL,NSSS,NUSANTARA SAWIT SEJAHTERA Tbk,,Local,8.49,7.01,-1.48,95.7,4.3
Zurich Assets International Ltd,ITMA,SUMBER ENERGI ANDALAN Tbk,,Foreign,1.46,2.89,1.43,95.9,3.5
PT ARTHA DANA INDONESIA,RMKE,RMK ENERGY Tbk,,Local,4.48,3.09,-1.39,88.5,1.2
REKSA DANA SUCORINVEST MAXI FUND,GULA,AMAN AGRINDO Tbk,,Local,3.09,1.71,-1.38,98.7,1.3
PT TRIMEGAH SEKURITAS INDONESIA TBK,DOID,BUMA INTERNASIONAL GRUP Tbk,,Local,4.9,3.52,-1.38,36.1,63.9
PT. MNC ASIA HOLDING TBK,IATA,MNC ENERGY INVESTMENTS Tbk,,Local,11.61,10.23,-1.38,98.0,2.0
PT GEMA INVESTASI UTAMA,DGIK,NUSA KONSTRUKSI ENJINIRING Tbk,,Local,4.89,3.59,-1.3,84.2,13.0
PERSADA CAPITAL INVESTAMA,AADI,ADARO ANDALAN INDONESIA Tbk,,Local,1.54,2.83,1.29,91.3,8.7
KOPERASI KONSUMEN KARYAWAN MANDIRI WIDODO MAKMUR,WMPP,WIDODO MAKMUR PERKASA Tbk,,Local,7.41,6.13,-1.28,58.0,7.8
JIE YANG,KRYA,BANGUN KARYA PERKASA JAYA Tbk,,Foreign,4.59,3.34,-1.25,67.5,20.5
PT BUMI CITRA INVESTINDO,BCIP,BUMI CITRA PERMAI Tbk,,Local,38.07,39.32,1.25,97.8,2.2
Adi Putro,TCPI,TRANSCOAL PACIFIC Tbk,,Local,2.94,1.7,-1.24,13.8,8.2
HERYANTO SALIM,TIRT,TIRTA MAHAKAM RESOURCES Tbk,,Local,6.46,7.64,1.18,99.2,0.6
gideon suryatika,FUJI,FUJI FINANCE INDONESIA Tbk,,Local,4.86,3.68,-1.18,40.4,59.6
AGATHA AQUILINA SILO,KKGI,RESOURCE ALAM INDONESIA Tbk,,Local,1.87,3.03,1.16,42.8,55.0
PT ARIMA KARYA PERSADA,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,2.22,3.37,1.15,88.5,11.5
GOODSTAR (H.K.) LIMITED,BANK,BANK ALADIN SYARIAH Tbk,,Foreign,1.76,2.9,1.14,83.2,10.4
ITNAWATI LUKMAN,SATU,KOTA SATU PROPERTI Tbk,,Local,2.78,1.64,-1.14,55.6,2.1
PT CAKRAWALA BUANA SENTOSA,HELI,JAYA TRISHINDO Tbk,,Local,1.33,2.46,1.13,89.8,10.2
DR KISHORE KUMAR,GULA,AMAN AGRINDO Tbk,,Local,1.37,2.49,1.12,98.7,1.3
STEFANI FARIDA,SATU,KOTA SATU PROPERTI Tbk,,Local,7.63,8.75,1.12,55.6,2.1
MAKMUR STEPFANIE,SWAT,SRIWAHANA ADITYAKARTA Tbk,,Local,1.1,2.2,1.1,22.0,0.0
MORGAN STANLEY AND CO INTERNATIONAL PLC,PTRO,PETROSEA Tbk,,Foreign,2.82,1.73,-1.09,88.5,10.6
PT SENTOSA BERSAMA MITRA,PADI,MINNA PADI INVESTAMA SEKURITAS Tbk,,Local,5.75,4.67,-1.08,98.6,0.6
PT SUMBER TEKNOLOGI MULIA,BOGA,APOLLO GLOBAL INTERACTIVE Tbk,,Local,1.6,2.67,1.07,67.9,32.1
BOS LTD S/A ANBO HOLDINGS LIMITED,BRPT,BARITO PACIFIC Tbk,,Foreign,2.52,1.46,-1.06,75.2,24.4
RAYMON YONARTO,LMAX,LUPROMAX PELUMAS INDONESIA Tbk,,Local,4.06,3.02,-1.04,29.7,0.3
PT MULTI BUANA CARAKA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,3.37,4.38,1.01,99.0,1.0
"SENTRATAMA NIAGA INDONESIA, PT",CEKA,WILMAR CAHAYA INDONESIA Tbk,,Local,87.02,86.02,-1.0,94.2,5.6
PT. INDOLIFE PENSIONTAMA,BINA,BANK INA PERDANA Tbk,,Local,21.83,22.83,1.0,69.0,30.0
PT HENAN PUTIHRAI ASSET MANAGEMENT,SSIA,SURYA SEMESTA INTERNUSA Tbk,,Local,10.04,11.04,1.0,82.7,17.1
KUDO TEKNOLOGI INDONESIA,SUPA,SUPER BANK INDONESIA Tbk,,Local,15.67,16.67,1.0,53.7,27.5
BANK OF SINGAPORE LIMITED,PSGO,PALMA SERASIH Tbk,,Foreign,4.5,3.52,-0.98,5.8,9.3
PT ABADIMUKTI GUNALESTARI,GPRA,PERDANA GAPURAPRIMA Tbk,,Local,47.5,48.48,0.98,97.9,2.1
PT. KB VALBURY SEKURITAS,DEWA,DARMA HENWA Tbk,,Local,2.02,1.04,-0.98,72.3,27.7
ENDY,BDKR,BERDIKARI PONDASI PERKASA Tbk,,Local,2.88,1.91,-0.97,99.2,0.8
CGS INTERNATIONAL SEKURITAS INDONESIA,HILL,HILLCON Tbk,,Local,18.42,17.45,-0.97,80.3,3.6
BATARA BAYU SOEDARWANTO,FUJI,FUJI FINANCE INDONESIA Tbk,,Local,4.64,5.61,0.97,40.4,59.6
"HARUNA BINOSWARA JAYA, PT",BDKR,BERDIKARI PONDASI PERKASA Tbk,,Local,4.79,5.75,0.96,99.2,0.8
OCBC SECURITIES PRIVATE LIMITED,TCPI,TRANSCOAL PACIFIC Tbk,,Foreign,3.2,2.24,-0.96,13.8,8.2
PT DANATAMA KAPITAL INVESTAMA,BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk,,Local,2.75,3.66,0.91,71.3,28.6
MUHAMMAD SARJONO,NAYZ,HASSANA BOGA SEJAHTERA TBK,,Local,2.55,1.65,-0.9,99.9,0.1
TERRA KONSUMA INVESTAMA,ESSA,ESSA INDUSTRIES INDONESIA Tbk,,Local,2.16,1.29,-0.87,78.7,21.3
PAUL YOUNG,MPIX,MITRA PEDAGANG INDONESIA Tbk,,Local,2.17,3.03,0.86,31.2,0.1
HENRY,JAST,JASNITA TELEKOMINDO Tbk,,Local,1.94,2.8,0.86,66.5,30.9
"WIDODO MAKMUR PERKASA TBK, PT",WMUU,WIDODO MAKMUR UNGGAS Tbk,,Local,41.78,40.94,-0.84,86.4,0.1
ANDRIANSYAH PRAYITNO,BSML,BINTANG SAMUDERA MANDIRI LINES Tbk,,Local,11.27,12.1,0.83,92.6,7.4
PT. BCA SEKURITAS,DEWA,DARMA HENWA Tbk,,Local,2.0,2.83,0.83,72.3,27.7
PT GLOBAL MEDIACOM TBK,MNCN,MEDIA NUSANTARA CITRA Tbk,,Local,40.1,39.27,-0.83,75.2,24.8
PT MAJU MEKAR MAKMUR,LCKM,LCK GLOBAL KEDATON Tbk,,Local,20.18,19.36,-0.82,88.1,11.9
MUHAMMAD NASHRI YONG BIN ABDULLAH,MPOW,MEGAPOWER MAKMUR Tbk,,Foreign,2.94,2.14,-0.8,38.9,61.1
CITIBANK HONG KONG S/A CITIBANK HK SA PBG CLIENTS HK,DSSA,DIAN SWASTATIKA SENTOSA Tbk,,Foreign,4.14,3.38,-0.76,20.2,19.9
CGS INTERNATIONAL SEKURITAS INDONESIA,DEWA,DARMA HENWA Tbk,,Local,5.53,4.79,-0.74,72.3,27.7
PT PENDANAAN EFEK INDONESIA,MNCN,MEDIA NUSANTARA CITRA Tbk,,Local,3.62,4.35,0.73,75.2,24.8
PT. MANDALA RAYA YUWANA,VKTR,VKTR TEKNOLOGI MOBILITAS Tbk,,Local,2.15,2.87,0.72,85.4,14.6
PT SAMUEL TUMBUH BERSAMA,NSSS,NUSANTARA SAWIT SEJAHTERA Tbk,,Local,39.08,39.8,0.72,95.7,4.3
Susanti,TCPI,TRANSCOAL PACIFIC Tbk,,Local,2.75,2.03,-0.72,13.8,8.2
YEANNE,GPRA,PERDANA GAPURAPRIMA Tbk,,Local,3.26,3.98,0.72,97.9,2.1
HARTARTO CIPUTRA,NASI,WAHANA INTI MAKMUR Tbk,,Local,1.73,2.44,0.71,29.6,0.1
CACEIS BANK/NON TREATY UCITS CLIENTS,GDYR,GOODYEAR INDONESIA Tbk,,Foreign,1.88,2.59,0.71,11.9,2.0
PT GLOBAL MEDIACOM TBK,KPIG,MNC LAND Tbk,,Local,1.03,1.73,0.7,42.9,57.1
DUNROSS AND CO SA SICAV SIF,SPTO,SURYA PERTIWI Tbk,,Foreign,3.84,4.54,0.7,73.6,26.4
SUARDI,RUNS,GLOBAL SUKSES SOLUSI Tbk,,Local,1.82,1.12,-0.7,47.7,0.2
PT ARTHA BERKAH SINERGI,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,3.03,3.72,0.69,99.0,1.0
BROADBAND GLOBAL PARTNERS INC,INKP,INDAH KIAT PULP AND PAPER Tbk,,Foreign,2.59,3.27,0.68,36.8,20.1
ARTEMIS WORLDWIDE INC,MORA,MORA TELEMATIKA INDONESIA Tbk,,Foreign,3.27,2.59,-0.68,66.3,33.7
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,ADHI,ADHI KARYA (PERSERO) Tbk,,Local,64.33,63.69,-0.64,34.4,1.3
"GRANGE PROSPERITY PTE, LTD",CUAN,PETRINDO JAYA KREASI Tbk,,Foreign,3.26,2.63,-0.63,2.6,13.3
BONDRA UJI PRATAMA,SMKM,SUMBER MAS KONSTRUKSI Tbk,,Local,3.06,3.67,0.61,67.9,32.1
PT PACIFIC PRIMA PERMATA,OLIV,OSCAR MITRA SUKSES SEJAHTERA Tbk,,Local,4.26,3.66,-0.6,97.9,2.1
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBNI,BANK NEGARA INDONESIA Tbk,,Local,60.0,59.4,-0.6,16.9,23.1
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBTN,BANK TABUNGAN NEGARA (PERSERO) Tbk,,Local,60.0,59.4,-0.6,28.5,11.5
EDWARD SETIAWAN JOESOEF,FOLK,MULTI GARAM UTAMA Tbk,,Local,2.95,2.35,-0.6,99.8,0.2
LAUW SUSANTO,TAXI,EXPRESS TRANSINDO UTAMA Tbk,,Local,3.34,3.93,0.59,97.3,2.7
TOMY WINATA,JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT Tbk,,Local,13.15,12.56,-0.59,46.3,6.1
ADITYA ANANTA,NANO,NANOTECH INDONESIA GLOBAL Tbk,,Local,4.17,3.59,-0.58,91.7,8.3
GOVERNMENT OF NORWAY,SMRA,SUMMARECON AGUNG Tbk,,Foreign,1.93,1.35,-0.58,65.3,10.7
VANECK GOLD MINERS ETF,BRMS,BUMI RESOURCES MINERALS Tbk,,Foreign,2.87,2.29,-0.58,42.7,57.3
NUSANTARA UTAMA INVESTAMA PT,BUVA,BUKIT ULUWATU VILLA Tbk,,Local,61.64,61.07,-0.57,94.0,6.0
21 INTERNATIONAL VENTURE SPC,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,,Foreign,2.49,1.93,-0.56,84.7,15.3
ASIA KAPITAL PROPERTI PT,RELI,RELIANCE SEKURITAS INDONESIA Tbk,,Local,1.99,1.43,-0.56,100.0,0.0
FLORENCE SENDJAJA,ITMA,SUMBER ENERGI ANDALAN Tbk,,Local,2.5,3.05,0.55,95.9,3.5
Zurich Assets International Ltd,EURO,ESTEE GOLD FEET Tbk,,Foreign,3.12,3.67,0.55,96.6,3.4
UBS AG SINGAPORE BRANCH,DOSS,GLOBAL SUKSES DIGITAL Tbk,,Foreign,4.28,4.83,0.55,31.5,5.5
MANJIT KISHIN PUNJABI,DOSS,GLOBAL SUKSES DIGITAL Tbk,,Local,1.78,1.23,-0.55,31.5,5.5
LEE SUHARLIE,MPOW,MEGAPOWER MAKMUR Tbk,,Local,5.49,4.94,-0.55,38.9,61.1
PT. MULIA JAYA PALMA,GRPH,GRIPTHA PUTRA PERSADA Tbk,,Local,70.19,69.64,-0.55,99.9,0.1
KINGSWOOD UNION CORPORATION,BULL,BUANA LINTAS LAUTAN Tbk,,Foreign,4.29,3.75,-0.54,70.5,29.6
INOVASI PRIMA SENTOSA,KREN,QUANTUM CLOVERA INVESTAMA Tbk,,Local,1.74,1.21,-0.53,84.6,2.2
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,BBRI,BANK RAKYAT INDONESIA (PERSERO) Tbk,,Local,53.19,52.66,-0.53,17.7,29.1
HENRY ARDIAN SUTANTO,RCCC,UTAMA RADAR CAHAYA Tbk,,Local,2.27,1.75,-0.52,99.9,0.1
PT MATRA TRI ABADI,IRSX,FOLAGO GLOBAL NUSANTARA Tbk,,Local,63.44,63.95,0.51,99.7,0.3
PERUSAHAAN PERSEROAN (PERSERO) PT DANANTARA ASSET MANAGEMENT,PTPP,PP (PERSERO) Tbk,,Local,51.0,50.49,-0.51,46.6,2.4
BFI FINANCE INDONESIA TBK PT,BFIN,BFI FINANCE INDONESIA Tbk,,Local,1.43,1.93,0.5,20.8,79.1
PT GAPANINDO WIRA SEMESTA,BSML,BINTANG SAMUDERA MANDIRI LINES Tbk,,Local,2.55,3.05,0.5,92.6,7.4
PT FAJAR CAKRAWALA PRIMA,BIKE,SEPEDA BERSAMA INDONESIA Tbk,,Local,3.82,4.32,0.5,99.0,1.0
"PANIN SEKURITAS Tbk, PT",KIJA,KAWASAN INDUSTRI JABABEKA Tbk,,Local,1.54,1.04,-0.5,45.5,28.2
HENDRA JULIUS SETIAWAN MARTONO,BCIP,BUMI CITRA PERMAI Tbk,,Local,1.89,1.39,-0.5,97.8,2.2
