stock,company,sector,jan_local_pct,jan_foreign_pct,feb_local_pct,feb_foreign_pct,delta_local_pct,delta_foreign_pct
ASLI,ASRI KARYA LESTARI Tbk,BUILDING CONSTRUCTION,36.87,63.13,99.89,0.11,63.02,-63.02
TOSK,TOPINDO SOLUSI KOMUNIKA Tbk,COMPUTER AND SERVICES,52.03,0.7,97.69,0.07,45.66,-0.63
BAPI,BHAKTI AGUNG PROPERTINDO Tbk,PROPERTY AND REAL ESTATE,29.53,0.47,59.28,0.47,29.75,0.0
ROCK,ROCKFIELDS PROPERTI INDONESIA Tbk,PROPERTY AND REAL ESTATE,69.8,4.2,95.8,4.2,26.0,0.0
KRYA,BANGUN KARYA PERKASA JAYA Tbk,METAL AND ALLIED PRODUCTS,67.46,20.52,78.09,9.89,10.63,-10.63
TPIA,CHANDRA ASRI PACIFIC Tbk,CHEMICALS,19.3,24.74,19.27,14.19,-0.03,-10.55
IDEA,IDEA INDONESIA AKADEMI Tbk,"RESTAURANT, HOTEL & TOURISM",99.08,0.92,91.92,8.08,-7.16,7.16
TRUE,TRINITI DINAMIK Tbk,PROPERTY AND REAL ESTATE,75.56,0.13,81.3,0.07,5.74,-0.06
BIPP,BHUWANATALA INDAH PERMAI Tbk,PROPERTY AND REAL ESTATE,30.43,69.11,35.34,64.21,4.91,-4.9
ZONE,MEGA PERINTIS Tbk,RETAIL TRADE,40.64,0.0,35.82,4.82,-4.82,4.82
BUMI,BUMI RESOURCES Tbk,METAL AND MINERAL MINING,24.89,75.1,29.43,70.56,4.54,-4.54
STAR,BUANA ARTHA ANUGERAH Tbk,"TEXTILE, GARMENT",53.61,46.39,49.37,50.63,-4.24,4.24
NANO,NANOTECH INDONESIA GLOBAL Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",91.67,8.33,95.85,4.15,4.18,-4.18
PEGE,PANCA GLOBAL KAPITAL Tbk,INVESTMENT COMPANY,61.15,38.85,57.07,42.93,-4.08,4.08
NASI,WAHANA INTI MAKMUR Tbk,FOOD & BEVERAGES,29.57,0.15,25.97,3.76,-3.6,3.61
NAYZ,HASSANA BOGA SEJAHTERA TBK,FOOD & BEVERAGES,99.91,0.09,96.34,3.66,-3.57,3.57
PYFA,PYRIDAM FARMA Tbk,PHARMACEUTICALS,35.83,64.17,32.3,67.7,-3.53,3.53
ZATA,BERSAMA ZATTA JAYA Tbk,"TEXTILE, GARMENT",99.55,0.45,96.03,3.97,-3.52,3.52
MGLV,PANCA ANUGRAH WISESA Tbk,HOUSEWARE,99.95,0.05,96.44,3.56,-3.51,3.51
FITT,HOTEL FITRA INTERNATIONAL Tbk,"RESTAURANT, HOTEL & TOURISM",96.94,3.06,93.46,6.54,-3.48,3.48
PACK,ABADI NUSANTARA HIJAU INVESTAMA Tbk,OTHER - BASIC INDUSTRY AND CHEMICALS,91.9,8.1,88.54,11.46,-3.36,3.36
FILM,MD ENTERTAINMENT Tbk,"ADVERTISING,PRINTING and MEDIA",22.33,23.94,25.67,20.61,3.34,-3.33
ELSA,ELNUSA Tbk,CRUDE PETROLEUM & NATURAL GAS PROD.,82.65,17.27,85.29,14.63,2.64,-2.64
IMPC,IMPACK PRATAMA INDUSTRI Tbk,PLASTICS & PACKAGING,44.97,10.19,42.34,12.82,-2.63,2.63
HUMI,HUMPUSS MARITIM INTERNASIONAL Tbk,ENERGY,97.45,2.55,99.85,0.15,2.4,-2.4
FIRE,ALFA ENERGI INVESTAMA Tbk,ENERGY,97.33,2.67,99.71,0.29,2.38,-2.38
RISE,JAYA SUKSES MAKMUR SENTOSA Tbk,PROPERTY AND REAL ESTATE,22.84,0.0,20.48,2.37,-2.36,2.37
SUPA,SUPER BANK INDONESIA Tbk,BANK,53.69,27.51,51.36,29.84,-2.33,2.33
LAJU,JASA BERDIKARI LOGISTICS Tbk,CONSTRUCTION,29.91,2.66,32.22,0.34,2.31,-2.32
PART,CIPTA PERDANA LANCAR Tbk,AUTOMOTIVE AND COMPONENTS,23.9,1.71,26.15,1.27,2.25,-0.44
NFCX,NFC INDONESIA Tbk,TELECOMUNICATION,91.28,8.72,93.33,6.67,2.05,-2.05
SOFA,SOLUSI ENVIRONMENT ASIA Tbk,WOOD INDUSTRIES,99.84,0.16,97.79,2.21,-2.05,2.05
ACES,ASPIRASI HIDUP INDONESIA Tbk,RETAIL TRADE,80.94,19.06,82.97,17.02,2.03,-2.04
PPRE,PP PRESISI Tbk,CONSTRUCTION,22.02,0.98,20.0,2.99,-2.02,2.01
BUVA,BUKIT ULUWATU VILLA Tbk,"RESTAURANT, HOTEL & TOURISM",93.96,6.04,92.06,7.94,-1.9,1.9
BBYB,BANK NEO COMMERCE Tbk,BANK,73.92,24.86,75.79,23.0,1.87,-1.86
ELIT,DATA SINERGITAMA JAYA Tbk,"OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO",47.87,3.4,49.73,1.54,1.86,-1.86
COIN,INDOKRIPTO KOIN SEMESTA Tbk,OTHERS - FINANCE,99.57,0.43,97.79,2.21,-1.78,1.78
DEWI,DEWI SHRI FARMINDO Tbk,OTHERS - CONSUMER GOODS INDUSTRY,59.81,0.54,58.1,2.25,-1.71,1.71
BNBR,BAKRIE AND BROTHERS Tbk,INVESTMENT COMPANY,16.79,52.85,18.48,51.16,1.69,-1.69
BBTN,BANK TABUNGAN NEGARA (PERSERO) Tbk,BANK,28.54,11.46,26.88,13.12,-1.66,1.66
HOPE,HARAPAN DUTA PERTIWI Tbk,AUTOMOTIVE AND COMPONENTS,95.8,3.6,97.45,1.95,1.65,-1.65
RMKO,ROYALTAMA MULIA KONTRAKTORINDO Tbk,COAL MINING,44.76,0.24,43.12,1.88,-1.64,1.64
BULL,BUANA LINTAS LAUTAN Tbk,TRANSPORTATION,70.45,29.55,71.93,28.07,1.48,-1.48
EMAS,MERDEKA GOLD RESOURCES Tbk,METAL AND MINERAL MINING,87.0,12.55,85.54,13.97,-1.46,1.42
RLCO,ABADI LESTARI INDONESIA Tbk,OTHERS - AGRICULTURE,94.74,5.26,96.19,3.81,1.45,-1.45
WIFI,SOLUSI SINERGI DIGITAL Tbk,"ADVERTISING,PRINTING and MEDIA",94.55,5.45,95.98,4.02,1.43,-1.43
SLIS,GAYA ABADI SEMPURNA Tbk,ELECTRONICS,97.01,2.99,98.42,1.58,1.41,-1.41
LEAD,LOGINDO SAMUDRAMAKMUR Tbk,TRANSPORTATION,67.17,8.92,68.51,7.57,1.34,-1.35
NTBK,NUSATAMA BERKAH Tbk,AUTOMOTIVE AND COMPONENTS,98.31,1.69,99.64,0.36,1.33,-1.33
REAL,REPOWER ASIA INDONESIA Tbk,PROPERTY AND REAL ESTATE,51.23,2.05,52.52,0.76,1.29,-1.29
SMMA,SINAR MAS MULTIARTHA Tbk,OTHERS - FINANCE,81.92,13.13,83.1,14.42,1.18,1.29
SQMI,WILTON MAKMUR INDONESIA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),21.49,78.51,22.77,77.23,1.28,-1.28
LSIP,PP LONDON SUMATRA INDONESIA Tbk,PLANTATION,27.42,13.05,28.67,11.8,1.25,-1.25
PSSI,IMC PELITA LOGISTIK Tbk,TRANSPORTATION,58.95,41.05,57.74,42.26,-1.21,1.21
IATA,MNC ENERGY INVESTMENTS Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",97.96,2.03,99.16,0.84,1.2,-1.19
AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,38.04,1.93,39.19,0.77,1.15,-1.16
INKP,INDAH KIAT PULP AND PAPER Tbk,PULP & PAPER,36.77,20.14,37.9,19.34,1.13,-0.8
KOKA,KOKA INDONESIA Tbk,CONSTRUCTION,25.04,2.06,23.94,3.15,-1.1,1.09
GULA,AMAN AGRINDO Tbk,PLANTATION,98.73,1.27,99.77,0.23,1.04,-1.04
BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,20.81,79.08,21.81,78.07,1.0,-1.01
CBDK,BANGUN KOSAMBI SUKSES Tbk,PROPERTY AND REAL ESTATE,13.27,1.14,12.27,2.14,-1.0,1.0
HRTA,HARTADINATA ABADI Tbk,METAL AND ALLIED PRODUCTS,91.96,8.04,92.96,7.04,1.0,-1.0
